26/10/2018 - 17:46:19 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.85, paramA=27.5858, paramVg=0.0, paramVt=1.6313, paramVi=1.6291, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:20 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 18
26/10/2018 - 17:46:20 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.8833, paramA=27.5858, paramVg=0.0, paramVt=1.6199, paramVi=1.6178, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:20 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 19
26/10/2018 - 17:46:20 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.9417, paramA=27.5858, paramVg=0.0, paramVt=1.6109, paramVi=1.609, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:21 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 19
26/10/2018 - 17:46:21 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.0083, paramA=27.5858, paramVg=0.0, paramVt=1.5941, paramVi=1.5919, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:21 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 20
26/10/2018 - 17:46:22 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.0583, paramA=27.5858, paramVg=0.0, paramVt=1.5748, paramVi=1.5724, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:22 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 20
26/10/2018 - 17:46:22 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.1083, paramA=27.5858, paramVg=0.0, paramVt=1.5608, paramVi=1.5587, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:23 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 21
26/10/2018 - 17:46:23 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.1667, paramA=27.5858, paramVg=0.0, paramVt=1.5467, paramVi=1.5447, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:23 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 21
26/10/2018 - 17:46:23 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.2083, paramA=27.5858, paramVg=0.0, paramVt=1.5298, paramVi=1.5277, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:24 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 22
26/10/2018 - 17:46:24 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.25, paramA=27.5858, paramVg=0.0, paramVt=1.5181, paramVi=1.5162, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:24 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 22
